mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,user,status,filename
-276.396484375,155.95506286621094,39.806304931640625,42.40778732299805,8.295354843139648,22.417505264282227,-0.1480688452720642,12.47572135925293,7.587204933166504,-1.4551374912261963,10.012855529785156,4.86159610748291,4.147305965423584,0.7863046526908875,0.7162978053092957,0.6779179573059082,0.6756810545921326,0.539627194404602,0.4966224431991577,0.46543726325035095,0.5031049251556396,0.616401195526123,0.7680220603942871,0.7465957403182983,0.7235749959945679,15.562681337670542,9.566432633088482,12.851662765888918,17.536790988247258,15.470357932553004,16.758382712054104,20.885981597766722,0.013839450813609468,0.1264069527387619,1490.9466470867926,3361.401436385814,1918.7485553809172,0,0,buka2 (1).wav
-242.4328155517578,144.1716766357422,45.73685836791992,36.77473449707031,17.780162811279297,20.74638557434082,8.971115112304688,8.036967277526855,7.3298773765563965,-1.6583186388015747,8.284341812133789,4.748629570007324,4.861584186553955,0.8383094668388367,0.7295237183570862,0.7798923850059509,0.6780404448509216,0.5860503315925598,0.5500503778457642,0.5503946542739868,0.6006802916526794,0.6804723739624023,0.7734800577163696,0.8307009339332581,0.8622379302978516,15.573878589102565,8.760064305081208,12.09283454047555,14.936678050407716,14.000515580534422,15.283969655720783,21.052660991605713,0.017591962930161943,0.1390618085861206,1984.3934128958274,4334.730264334813,3385.0718386260123,0,0,buka2 (10).wav
-272.9268798828125,154.63514709472656,32.82124710083008,41.05125427246094,7.996753215789795,19.29524803161621,2.692930221557617,13.401455879211426,3.200047492980957,-0.979259192943573,7.790448188781738,4.890468597412109,7.137620449066162,0.8287704586982727,0.6980679631233215,0.6437157988548279,0.586225688457489,0.5084908604621887,0.48062509298324585,0.5193020105361938,0.618893027305603,0.6323906779289246,0.6587979793548584,0.723535418510437,0.7786271572113037,15.718827159282451,9.70991587974118,14.15431767267649,17.240586417136946,15.892015129862695,16.027488294785982,20.631928604480155,0.01503356073943662,0.11813540011644363,1616.3604138363064,3381.222645083485,2240.2113363776407,0,0,buka2 (100).wav
-232.35218811035156,148.4635772705078,36.811866760253906,28.14310073852539,18.75486183166504,17.48859214782715,8.544875144958496,7.098064422607422,10.292670249938965,-5.770965576171875,12.740623474121094,3.8044581413269043,8.189756393432617,0.829558253288269,0.6574022173881531,0.6066193580627441,0.5717961192131042,0.49484166502952576,0.4916303753852844,0.5063608288764954,0.527173638343811,0.5836369395256042,0.6223045587539673,0.7648397088050842,0.8884791731834412,15.570566558731201,9.59637386518524,13.6158276286316,17.412243499620708,15.939003283992921,17.01077878130467,21.9425765665332,0.019883452868852458,0.14859142899513245,2056.236262320001,4407.337269948882,3124.3148053278687,0,0,buka2 (11).wav
-219.91763305664062,154.247314453125,47.37632751464844,37.09470748901367,14.263005256652832,22.47081184387207,6.42502498626709,9.856680870056152,7.163619041442871,-1.9310228824615479,7.106154918670654,5.090760231018066,6.5329670906066895,0.8141720294952393,0.7195717692375183,0.7356892228126526,0.6457341313362122,0.5877529978752136,0.556318998336792,0.5679470896720886,0.6301019191741943,0.7258290648460388,0.8060725927352905,0.8430241942405701,0.8691391348838806,15.473197108916876,8.637339566089082,11.36887147996871,14.865439669563692,14.313032165649494,15.077544613244399,19.898349390632657,0.011754477896341464,0.19629999995231628,1621.366803409624,3769.354121707237,2289.4784322599085,0,0,buka2 (12).wav
-251.59310913085938,158.76492309570312,41.26487731933594,37.72113800048828,9.920493125915527,22.218294143676758,4.37911319732666,11.802384376525879,6.382291316986084,-2.7521414756774902,7.612674236297607,5.411120891571045,5.130975246429443,0.8323453664779663,0.7225165963172913,0.6793482303619385,0.604556679725647,0.5436060428619385,0.5168050527572632,0.5226417779922485,0.5980499386787415,0.707257866859436,0.7486568689346313,0.7895499467849731,0.823541522026062,15.594701243255043,8.987714420594076,12.201605553572392,15.885642519056413,14.386341477147841,15.509245308206884,19.63238341280177,0.011814760358146067,0.1508999466896057,1461.4185555319696,3397.6662539968283,1754.3511894311798,0,0,buka2 (13).wav
-203.7788848876953,149.3820343017578,48.8725700378418,33.03582763671875,19.460107803344727,14.474824905395508,11.838913917541504,6.520500183105469,11.970962524414062,-8.619987487792969,11.585989952087402,2.156745433807373,9.327155113220215,0.8751277327537537,0.7818228602409363,0.7183641791343689,0.6274445652961731,0.5743371844291687,0.553829550743103,0.5450053811073303,0.6040477752685547,0.676122784614563,0.7357655167579651,0.8084860444068909,0.862286388874054,15.574958901749675,8.299397266953783,12.10160618378909,15.861889465561157,14.770283433728554,15.779925907702527,21.648829976391852,0.018983498597756412,0.21798446774482727,2137.383429830351,4827.46482028984,3317.0795147235576,0,0,buka2 (14).wav
-301.1995544433594,148.15455627441406,49.67648696899414,32.84708786010742,19.28412628173828,15.878830909729004,11.876607894897461,4.048161506652832,11.809247970581055,-6.160827159881592,11.999813079833984,1.5818794965744019,8.618910789489746,0.8511819243431091,0.7381134033203125,0.7401763796806335,0.6505385637283325,0.5807067155838013,0.546801745891571,0.5550800561904907,0.6283813118934631,0.7189673781394958,0.7709564566612244,0.81768399477005,0.8752065300941467,15.355193085035086,8.77146722202682,11.908644869312258,15.537385756834682,13.94767517899604,15.148169848683068,22.720890046072743,0.021300310863874346,0.08621741831302643,2173.3703346746656,4840.659262855224,3660.8700098167537,0,0,buka2 (15).wav
-218.6655731201172,153.16468811035156,46.222660064697266,32.064796447753906,16.144481658935547,15.886698722839355,7.758090972900391,7.458259105682373,11.450315475463867,-8.504022598266602,13.142367362976074,2.143090009689331,9.527717590332031,0.783618688583374,0.7060853242874146,0.6180334687232971,0.5595763325691223,0.48454979062080383,0.5091127157211304,0.4743114709854126,0.46899715065956116,0.5669881701469421,0.6351203322410583,0.7941876649856567,0.7791609764099121,15.583974934744933,9.84703277773295,13.59625386167041,17.73005074160285,15.55374762844243,16.749518564594617,22.35391396726712,0.021662454044117648,0.18876585364341736,2025.482053203663,4492.773836487351,3199.5806525735293,0,0,buka2 (16).wav
-239.66323852539062,153.83370971679688,43.955074310302734,34.123233795166016,16.788068771362305,23.57327651977539,7.467133522033691,8.049081802368164,7.969141960144043,-2.9907782077789307,9.028058052062988,3.498272657394409,7.223086357116699,0.9595245122909546,0.779299795627594,0.6798815727233887,0.6925934553146362,0.6082586646080017,0.5716447234153748,0.5617722272872925,0.6027939319610596,0.636629045009613,0.6978527307510376,0.7973384857177734,0.8779458999633789,15.571038127854802,8.716161749859458,12.422643134618633,14.944543058911771,14.744676249159197,15.109757256101014,19.20356010343284,0.014220651272123894,0.15979932248592377,1680.3160120514456,3956.057868917792,2169.613134333518,0,0,buka2 (17).wav
